trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	mixed	1	4194304	6	8	24576	283132291	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19720582	966750	0	0	0	0
automatic	mixed	3	4194304	0	8	24576	284879667	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	22573124	2222416	0	0	0	0
automatic	mixed	3	4194304	1	8	24576	281600458	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21569127	988833	0	0	0	0
automatic	mixed	3	4194304	2	8	24576	281534417	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21268580	996541	0	0	0	0
automatic	mixed	3	4194304	3	8	24576	282920166	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21013414	990708	0	0	0	0
automatic	mixed	3	4194304	4	8	24576	277864541	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21176503	996083	0	0	0	0
automatic	mixed	3	4194304	5	8	24576	283595208	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21017000	998416	0	0	0	0
automatic	mixed	3	4194304	6	8	24576	283542416	4831838208	24	0	100933144	8732496	92200648	2779200	7136632	4117560	4194304	90	7667712	21201211	1022959	0	0	0	0
automatic	mixed	1	8388608	0	8	24576	286434750	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19831750	1547375	0	0	0	0
automatic	mixed	1	8388608	1	8	24576	282786709	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	20008125	1571000	0	0	0	0
automatic	mixed	1	8388608	2	8	24576	283491958	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19884248	1587875	0	0	0	0
automatic	mixed	1	8388608	3	8	24576	285733958	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19886664	1604125	0	0	0	0
automatic	mixed	1	8388608	4	8	24576	281272500	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19947167	1554500	0	0	0	0
automatic	mixed	1	8388608	5	8	24576	278145708	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19603622	1527125	0	0	0	0
automatic	mixed	1	8388608	6	8	24576	280806083	4831838208	22	0	96584968	3092200	93492768	3092200	5844512	2512440	4194304	99	9830400	19527875	1512041	0	0	0	0
automatic	mixed	3	8388608	0	8	24576	284303500	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	21185795	1593625	0	0	0	0
automatic	mixed	3	8388608	1	8	24576	286093709	4831838208	23	0	100913952	8602720	92311232	2651976	7026048	4134200	4194304	96	9633792	21252293	1715750	0	0	0	0
